year,game week,away_continent,cnt,cnt_win,cnt_draw,cnt_lose,win_odds,lose_odds,win_rate,lose_rate,home_continent
2002,2.0,Asia,1,1,0,0,0.0,0.0,1.0,0.0,Africa
2006,3.0,North America,1,1,0,0,0.0,0.0,1.0,0.0,Africa
2022,2.0,Asia,2,2,0,0,2.6,3.11,1.0,0.0,Africa
2018,3.0,North America,1,1,0,0,1.83,4.95,1.0,0.0,Africa
2022,3.0,North America,1,1,0,0,2.29,3.25,1.0,0.0,Africa
2014,2.0,Asia,1,1,0,0,0.0,0.0,1.0,0.0,Africa
2010,4.0,North America,1,1,0,0,0.0,0.0,1.0,0.0,Africa
2022,3.0,Europe,1,1,0,0,14.0,1.24,1.0,0.0,Africa
2022,3.0,South America,3,2,0,1,5.456666666666666,2.026666666666667,0.6666666666666666,0.3333333333333333,Africa
2014,1.0,Asia,2,1,1,0,0.0,0.0,0.5,0.0,Africa
2002,4.0,Europe,2,1,0,1,0.0,0.0,0.5,0.5,Africa
2010,3.0,Asia,2,1,1,0,0.0,0.0,0.5,0.0,Africa
2022,2.0,Europe,2,1,1,0,4.925,1.815,0.5,0.0,Africa
2018,1.0,Europe,3,1,0,2,5.8500000000000005,1.8933333333333333,0.3333333333333333,0.6666666666666666,Africa
2014,2.0,Europe,3,1,1,1,0.0,0.0,0.3333333333333333,0.3333333333333333,Africa
2006,3.0,Europe,3,1,0,2,0.0,0.0,0.3333333333333333,0.6666666666666666,Africa
2010,1.0,Europe,3,1,1,1,0.0,0.0,0.3333333333333333,0.3333333333333333,Africa
2002,1.0,Europe,3,1,1,1,0.0,0.0,0.3333333333333333,0.3333333333333333,Africa
2010,3.0,Europe,3,1,0,2,0.0,0.0,0.3333333333333333,0.6666666666666666,Africa
2006,2.0,Europe,4,1,0,3,0.0,0.0,0.25,0.75,Africa
2002,2.0,Europe,4,1,2,1,0.0,0.0,0.25,0.25,Africa
2018,2.0,Europe,4,1,0,3,6.525,1.9649999999999999,0.25,0.75,Africa
2022,4.0,Europe,5,1,1,3,5.970000000000001,1.7600000000000002,0.2,0.6,Africa
2010,2.0,Oceania,1,0,1,0,0.0,0.0,0.0,0.0,Africa
2010,2.0,Europe,3,0,1,2,0.0,0.0,0.0,0.6666666666666666,Africa
2010,1.0,South America,1,0,0,1,0.0,0.0,0.0,1.0,Africa
